Company Name,Industry,Symbol,Series,ISIN Code
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028
LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS,EQ,INE818H01020
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029
PTC Industries Ltd.,Capital Goods,PTCIL,EQ,INE596F01018
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
Reliance Power Ltd.,Power,RPOWER,BE,INE614G01033
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025
Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027
